,temp_C,isolate,no_lrv,day4_acc,mortality_rate_per_isolate (%)
0,16,ALL,80,34,42.5
1,16,Control,80,0,0.0
2,16,GR3a-2,80,78,97.5
3,16,HO6,80,28,35.0
4,16,Hr-1a,80,6,7.5
5,16,MC2b-1,80,80,100.0
6,16,NC4a,80,62,77.5
