,temp_C,isolate,no_lrv,day4_acc,mortality_rate_per_isolate (%)
0,26,ALL,80,69,86.25
1,26,Control,80,1,1.25
2,26,GR3a-2,80,74,92.5
3,26,HO6,80,71,88.75
4,26,Hr-1a,80,17,21.25
5,26,MC2b-1,80,65,81.25
6,26,NC4a,80,72,90.0
